aggregate_energy_kwh,allocation_strategy,comfort_band_c,comfort_violation_count,comfort_violation_degree_minutes,controller,current_saturation_count,experiment_set,feeder_extra_load_kvar,feeder_extra_load_kw,fleet_size,frequency_nadir_hz,frequency_overshoot_hz,inverter_q_max_kvar,inverter_s_rated_kva,max_abs_frequency_deviation_hz,max_aggregate_p_kw,max_aggregate_q_kvar,max_compute_time_ms,max_feeder_voltage_pu,max_pcc_voltage_pu,max_unit_apparent_kva,mean_compute_time_ms,mean_pcc_voltage_pu,measurement_delay_steps,min_feeder_voltage_pu,min_pcc_voltage_pu,mpc_feasibility_rate,ramp_limited_count,reactive_support_kvarh,scenario,tcl_share_percent,temperature_max_c,temperature_min_c,thermal_ambient_temperature_c,thermal_calibration_source,thermal_capacitance_kwh_per_c,thermal_cop,thermal_resistance_c_per_kw,thermal_setpoint_c,voltage_event_type,voltage_sag_pu
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.805159135,0.014840864900001804,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.014599994756281376,1.076961163640929,1.0001414618335638,2.0000000000000004,0.006296686358626716,0.9679394709066225,0,0.8791644640508466,0.9184961148919875,1.0,0.0,0.0,voltage_sag_0.90,28.851702250432776,23.421689690233784,23.417819051935254,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.9
167.7846470869468,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.805159135,0.014836530499209744,2.2,4.0,0.1948408650000033,1000.0000000000002,1100.0,0.011600088328123093,1.0746292409868952,0.9992389503119228,2.9536606175692226,0.006262806613644785,0.9741317639205983,0,0.8998368210041007,0.940738350833365,1.0,0.0,60.60964770859358,voltage_sag_0.90,28.851702250432776,23.421689690233784,23.41782919982808,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.9
101.63302206103666,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,483.7624999927357,1.0746410752671207,1.0028179449048558,2.8334741788542237,217.8586074468595,0.9725702368495545,0,0.89091705514802,0.9250404066622336,1.0,22.0,0.0,voltage_sag_0.90,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.9
101.63302206103668,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,1100.0,527.6576000032946,1.0746410752671216,1.001304032392457,2.8334741788542237,226.19125536981633,0.9783121463260452,0,0.899849282363175,0.9435369594639234,1.0,22.0,53.87418317084621,voltage_sag_0.90,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.9
102.00716087313458,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91015926094531,0.11984088802211801,2.2,4.0,0.11984088802211801,1407.8489597381863,1100.0,755.8632999425754,1.0640645515188891,1.007777555258163,3.491728026651066,521.9897264431901,0.9818654693049391,0,0.8998654692279419,0.9491921673659344,1.0,18.0,117.7804816228216,voltage_sag_0.90,28.851702250432776,23.421689690233784,23.420361897572352,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.9
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.805159135,0.014840864900001804,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.014499993994832039,1.076961163640929,1.0001414618335638,2.0000000000000004,0.00688925092993689,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,voltage_sag_0.92,28.851702250432776,23.421689690233784,23.417819051935254,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.92
167.7846470869468,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.805159135,0.014836530499209744,2.2,4.0,0.1948408650000033,1000.0000000000002,1100.0,4.145199898630381,1.0746292409868952,0.9992389503119228,2.9536606175692226,0.040585940996231126,0.9787413223075502,0,0.9091331502368079,0.9491685137881256,1.0,0.0,39.82138744887451,voltage_sag_0.92,28.851702250432776,23.421689690233784,23.41782919982808,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.92
101.63302206103666,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,467.5303000258282,1.0746410752671207,1.0028179449048558,2.8334741788542237,224.95856611750835,0.9797960082164411,0,0.9108986724354322,0.9463652441108501,1.0,22.0,0.0,voltage_sag_0.92,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.92
101.6330220610367,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,924.9974846960713,477.0621999632567,1.0746410752671207,1.001304032392456,2.8334741788542237,230.08522727384332,0.9830344285861775,0,0.9193491868176943,0.9540636265030364,1.0,22.0,32.97982127857763,voltage_sag_0.92,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.92
102.00716088396811,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91015926094531,0.11984088802211801,2.2,4.0,0.11984088802211801,1407.8489597167254,1100.0,823.1859999941662,1.0640645515188865,1.007777555258163,3.491728026601976,545.5864818251022,0.9894506213894597,0,0.9198650928024887,0.9715776162016284,1.0,18.0,117.78048162253991,voltage_sag_0.92,28.851702250432776,23.421689690233784,23.42036188888414,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.92
