time_s,controller_mode,frequency_hz,frequency_deviation_hz,source_voltage_pu,pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,measured_voltage_pu,p_command_kw,p_feasible_kw,p_rule_kw,p_actual_kw,aggregate_p_kw,q_command_kvar,q_actual_kvar,aggregate_q_kvar,apparent_kva,temperature_c,measured_temperature_c,compressor_speed_hz,cop,id_a,iq_a,id_ref_a,iq_ref_a,current_saturated,ramp_limited,dmpc_status_ok,controller_compute_time_s,feeder_extra_load_kw,feeder_extra_load_kvar
5.000000000000000000e+01,4.000000000000000000e+00,6.001142714874997353e+01,1.142714874997146843e-02,1.000000000000000000e+00,9.961332494315227049e-01,9.579843007419132084e-01,1.061646791083853847e+00,9.960618662962753556e-01,2.130700313554761749e+00,2.130700313554761749e+00,2.000000000000000000e+00,2.130700313554761749e+00,1.065350156777380789e+03,1.327913426493072091e+00,1.327913426493072091e+00,6.639567132465360828e+02,2.510625000760354997e+00,2.342137216119733267e+01,2.338462048640480262e+01,7.753040482849463899e+01,1.522975667810204881e+00,1.260983821370088265e+01,7.858613413896767597e+00,8.914995994127009382e+00,5.556080694418572108e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.888068999978713691e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,4.000000000000000000e+00,6.000487150183808893e+01,4.871501838086794711e-03,1.000000000000000000e+00,9.961364885742824971e-01,9.583823668720072853e-01,1.061163832351950775e+00,9.988508962750057840e-01,2.033043178475057555e+00,2.033043178475057555e+00,2.000000000000000000e+00,2.033043178475057555e+00,1.016521589237528815e+03,1.282807658670410467e+00,1.282807658670410467e+00,6.414038293352052733e+02,2.403925966973073258e+00,2.342133650630971431e+01,2.344711798695036364e+01,7.638863903265202282e+01,1.524293815409889508e+00,1.203452970176091341e+01,7.585361117219877158e+00,8.503895687128549596e+00,5.365780044162801410e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.359696000057738274e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,4.000000000000000000e+00,5.998893850986183196e+01,-1.106149013816509763e-02,1.000000000000000000e+00,9.959417074894509891e-01,9.584221588204310249e-01,1.060701769120437676e+00,9.948535477860680487e-01,1.958558532912450190e+00,1.958558532912450190e+00,2.000000000000000000e+00,1.958558532912450412e+00,9.792792664562251730e+02,1.232436661000413158e+00,1.232436661000413158e+00,6.162183305002065481e+02,2.314055239233069106e+00,2.342130338705734971e+01,2.344417117841988940e+01,7.548241726540985042e+01,1.525276575318626593e+00,1.158821727114093392e+01,7.300676446520118823e+00,8.192311643439342816e+00,5.155069423787558058e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.889466000138781965e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+01,4.000000000000000000e+00,5.999792584634125348e+01,-2.074153658743102188e-03,1.000000000000000000e+00,9.959167516768324679e-01,9.583212121250345161e-01,1.060780925270510267e+00,9.960907399469939305e-01,1.976471228120187273e+00,1.976471228120187273e+00,2.000000000000000000e+00,1.976471228120187495e+00,9.882356140600937806e+02,1.238647264601077325e+00,1.238647264601077325e+00,6.193236323005386339e+02,2.332527719383127529e+00,2.342127220555666156e+01,2.341560874179613805e+01,7.570332068976290429e+01,1.525040457268456162e+00,1.169231903978555387e+01,7.339172587225466948e+00,8.268854212957380767e+00,5.182060586839939198e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.891301000141538680e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+01,4.000000000000000000e+00,6.000363299907618853e+01,3.632999076190583827e-03,1.000000000000000000e+00,9.960063811055011040e-01,9.580117685762022939e-01,1.061356882035493499e+00,9.957837170365336776e-01,2.083712411306547718e+00,2.083712411306547718e+00,2.000000000000000000e+00,2.083712411306547718e+00,1.041856205653273946e+03,1.295649575646692808e+00,1.295649575646692808e+00,6.478247878233463553e+02,2.453684013051884882e+00,2.342124055786855408e+01,2.346439623561823851e+01,7.698730055089669122e+01,1.523608743386421160e+00,1.232936771172287571e+01,7.673538153212016155e+00,8.717731710499336373e+00,5.420673855960675525e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.435034000081941485e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e+01,4.000000000000000000e+00,6.000173717280319607e+01,1.737172803198088920e-03,1.000000000000000000e+00,9.971929394715366435e-01,9.610502352623624400e-01,1.059865506487116749e+00,9.964126583262803427e-01,1.675761315867287049e+00,1.683712411306547807e+00,2.000000000000000000e+00,1.683712411306547807e+00,8.418562056532739462e+02,1.209352733055149454e+00,1.209352733055149454e+00,6.046763665275747144e+02,2.073022314625597495e+00,2.342120612266333879e+01,2.342502417500011447e+01,7.181863055222306969e+01,1.528680826818498151e+00,9.953245573803028989e+00,7.150018345281634602e+00,7.043597825806340751e+00,5.059174134477130380e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.896117999858688563e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,4.000000000000000000e+00,5.999305396368386312e+01,-6.946036316139915512e-03,1.000000000000000000e+00,9.973704982213225101e-01,9.628289071886105832e-01,1.057956656799164730e+00,9.960343362785313293e-01,6.000000036091038824e-01,1.283712411306547896e+00,2.000000000000000000e+00,1.283712411306547896e+00,6.418562056532739462e+02,1.042237075572083560e+00,1.042237075572083560e+00,5.211185377860417702e+02,1.653534298597861163e+00,2.342118211985615162e+01,2.344814503601916300e+01,6.515489659689853852e+01,1.532534060453566438e+00,7.583791439942069168e+00,6.163649831936712786e+00,5.363858388941146416e+00,4.354878890189236351e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.314806999929714948e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000000e+01,4.000000000000000000e+00,6.002608906288853063e+01,2.608906288853172703e-02,1.000000000000000000e+00,9.983572696811231495e-01,9.655983603478578425e-01,1.056410151270794628e+00,9.947234426363540383e-01,6.000000007032333382e-01,8.837124113065478737e-01,2.000000000000000000e+00,8.837124113065478737e-01,4.418562056532739462e+02,9.444101209111598338e-01,9.444101209111598338e-01,4.722050604555799396e+02,1.293390158605153717e+00,2.342116864704084023e+01,2.344057574971804314e+01,5.495068794824108238e+01,1.532570182613613330e+00,5.219316938074642032e+00,5.560198027958911382e+00,3.691842754199381016e+00,3.945416650563446481e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.904850999999325722e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+01,4.000000000000000000e+00,6.005657090730006331e+01,5.657090730006575363e-02,1.000000000000000000e+00,9.980362401538430683e-01,9.663060130721119467e-01,1.055969138944567343e+00,9.974309299512184035e-01,6.000000002608996130e-01,6.000000002608996130e-01,2.000000000000000000e+00,6.000000002608996130e-01,3.000000001304497914e+02,7.920902098079789511e-01,7.920902098079789511e-01,3.960451049039894542e+02,9.936835013155485008e-01,2.342116581628151550e+01,2.345887626560012151e+01,2.502912539660823299e+01,1.491764687398600131e+00,3.536573089523851632e+00,4.679778304861478055e+00,2.504113584394076941e+00,3.305806422638718267e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.284617999976035208e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000000e+01,4.000000000000000000e+00,6.008664707413907990e+01,8.664707413907818401e-02,1.000000000000000000e+00,9.975646531784526649e-01,9.657271085178138481e-01,1.055967072827744602e+00,9.973818133133987018e-01,6.000000005034193951e-01,6.000000005034193951e-01,2.002476092747151881e+00,6.000000005034193951e-01,3.000000002517097073e+02,7.531693460045738586e-01,7.531693460045738586e-01,3.765846730022869338e+02,9.629455147437266938e-01,2.342117095934835191e+01,2.341366509733281376e+01,2.503625968371659027e+01,1.491781909250815774e+00,3.533604377640402916e+00,4.447343886419009351e+00,2.504919061568562366e+00,3.144380416355071262e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.877968999906443059e-01,0.000000000000000000e+00,0.000000000000000000e+00
