scenario,controller,fleet_size,tcl_share_percent,allocation_strategy,voltage_event_type,voltage_sag_pu,feeder_extra_load_kw,feeder_extra_load_kvar,inverter_s_rated_kva,inverter_q_max_kvar,comfort_band_c,thermal_calibration_source,thermal_ambient_temperature_c,thermal_setpoint_c,thermal_resistance_c_per_kw,thermal_capacitance_kwh_per_c,thermal_cop,measurement_delay_steps,frequency_nadir_hz,frequency_overshoot_hz,max_abs_frequency_deviation_hz,min_pcc_voltage_pu,max_pcc_voltage_pu,mean_pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,temperature_min_c,temperature_max_c,comfort_violation_count,comfort_violation_degree_minutes,aggregate_energy_kwh,reactive_support_kvarh,max_unit_apparent_kva,max_aggregate_p_kw,max_aggregate_q_kvar,mpc_feasibility_rate,mean_compute_time_ms,max_compute_time_ms,current_saturation_count,ramp_limited_count
voltage_sag_0.90,no_support,500,28.851702250432776,load_proportional,source_sag,0.9,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9184961148919875,1.0001414618335638,0.9679394709066225,0.8791644640508466,1.076961163640929,23.417819051935254,23.421689690233784,0.0,0.0,168.05555555555557,0.0,2.0000000000000004,1000.0000000000002,0.0,1.0,0.006296686358626716,0.014599994756281376,0.0,0.0
voltage_sag_0.90,rule_based,500,28.851702250432776,load_proportional,source_sag,0.9,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014836530499209744,0.1948408650000033,0.940738350833365,0.9992389503119228,0.9741317639205983,0.8998368210041007,1.0746292409868952,23.41782919982808,23.421689690233784,0.0,0.0,167.7846470869468,60.60964770859358,2.9536606175692226,1000.0000000000002,1100.0,1.0,0.006262806613644785,0.011600088328123093,0.0,0.0
voltage_sag_0.90,dmpc_active_only,500,28.851702250432776,load_proportional,source_sag,0.9,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9250404066622336,1.0028179449048558,0.9725702368495545,0.89091705514802,1.0746410752671207,23.420372149539233,23.421689690233784,0.0,0.0,101.63302206103666,0.0,2.8334741788542237,1416.7370894271119,0.0,1.0,217.8586074468595,483.7624999927357,0.0,22.0
voltage_sag_0.90,dmpc_pq,500,28.851702250432776,load_proportional,source_sag,0.9,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9435369594639234,1.001304032392457,0.9783121463260452,0.899849282363175,1.0746410752671216,23.420372149539233,23.421689690233784,0.0,0.0,101.63302206103668,53.87418317084621,2.8334741788542237,1416.7370894271119,1100.0,1.0,226.19125536981633,527.6576000032946,0.0,22.0
voltage_sag_0.90,dmpc_full_pq,500,28.851702250432776,load_proportional,source_sag,0.9,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.91015926094531,0.11984088802211801,0.11984088802211801,0.9491921673659344,1.007777555258163,0.9818654693049391,0.8998654692279419,1.0640645515188891,23.420361897572352,23.421689690233784,0.0,0.0,102.00716087313458,117.7804816228216,3.491728026651066,1407.8489597381863,1100.0,1.0,521.9897264431901,755.8632999425754,0.0,18.0
voltage_sag_0.92,no_support,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9396006822590736,1.0001414618335638,0.9750906053037344,0.8987910556631095,1.076961163640929,23.417819051935254,23.421689690233784,0.0,0.0,168.05555555555557,0.0,2.0000000000000004,1000.0000000000002,0.0,1.0,0.00688925092993689,0.014499993994832039,0.0,0.0
voltage_sag_0.92,rule_based,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014836530499209744,0.1948408650000033,0.9491685137881256,0.9992389503119228,0.9787413223075502,0.9091331502368079,1.0746292409868952,23.41782919982808,23.421689690233784,0.0,0.0,167.7846470869468,39.82138744887451,2.9536606175692226,1000.0000000000002,1100.0,1.0,0.040585940996231126,4.145199898630381,0.0,0.0
voltage_sag_0.92,dmpc_active_only,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9463652441108501,1.0028179449048558,0.9797960082164411,0.9108986724354322,1.0746410752671207,23.420372149539233,23.421689690233784,0.0,0.0,101.63302206103666,0.0,2.8334741788542237,1416.7370894271119,0.0,1.0,224.95856611750835,467.5303000258282,0.0,22.0
voltage_sag_0.92,dmpc_pq,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9540636265030364,1.001304032392456,0.9830344285861775,0.9193491868176943,1.0746410752671207,23.420372149539233,23.421689690233784,0.0,0.0,101.6330220610367,32.97982127857763,2.8334741788542237,1416.7370894271119,924.9974846960713,1.0,230.08522727384332,477.0621999632567,0.0,22.0
voltage_sag_0.92,dmpc_full_pq,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.91015926094531,0.11984088802211801,0.11984088802211801,0.9715776162016284,1.007777555258163,0.9894506213894597,0.9198650928024887,1.0640645515188865,23.42036188888414,23.421689690233784,0.0,0.0,102.00716088396811,117.78048162253991,3.491728026601976,1407.8489597167254,1100.0,1.0,545.5864818251022,823.1859999941662,0.0,18.0
voltage_sag_0.94,no_support,500,28.851702250432776,load_proportional,source_sag,0.94,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9611527291347791,1.0001414618335638,0.9823933649888908,0.9186957940916902,1.076961163640929,23.417819051935254,23.421689690233784,0.0,0.0,168.05555555555557,0.0,2.0000000000000004,1000.0000000000002,0.0,1.0,0.00734628305177797,0.028999987989664078,0.0,0.0
voltage_sag_0.94,rule_based,500,28.851702250432776,load_proportional,source_sag,0.94,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014836530499209744,0.1948408650000033,0.9652769281967295,0.9992389503119224,0.9842067897524871,0.9232082522153966,1.074629240986895,23.41782919982808,23.421689690233784,0.0,0.0,167.7846470869468,18.385730903587504,2.2268167431182624,1000.0000000000002,518.3150016284555,1.0,0.007024793962617059,0.015500001609325409,0.0,0.0
