aggregate_energy_kwh,allocation_strategy,comfort_band_c,comfort_violation_count,comfort_violation_degree_minutes,controller,current_saturation_count,experiment_set,feeder_extra_load_kvar,feeder_extra_load_kw,fleet_size,frequency_nadir_hz,frequency_overshoot_hz,inverter_q_max_kvar,inverter_s_rated_kva,max_abs_frequency_deviation_hz,max_aggregate_p_kw,max_aggregate_q_kvar,max_compute_time_ms,max_feeder_voltage_pu,max_pcc_voltage_pu,max_unit_apparent_kva,mean_compute_time_ms,mean_pcc_voltage_pu,measurement_delay_steps,min_feeder_voltage_pu,min_pcc_voltage_pu,mpc_feasibility_rate,ramp_limited_count,reactive_support_kvarh,scenario,tcl_share_percent,temperature_max_c,temperature_min_c,voltage_event_type,voltage_sag_pu
100.83333333333334,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,300,59.8,0.0,2.2,4.0,0.20000000000000284,600.0000000000001,0.0,0.00589998671784997,1.0708321643426992,0.999583707476415,2.0000000000000004,0.0032545452213976994,0.9771188131691528,0,0.9057030728163162,0.9434869885940909,1.0,0.0,0.0,fleet_300,17.311021350259665,24.018347958702265,24.0,source_sag,0.92
100.49542264694436,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,300,59.80007599286946,0.0,2.2,4.0,0.19992400713054082,600.0000000000001,602.3197880802157,0.005399982910603285,1.0684057961219358,0.9968688562044676,2.806426759212505,0.0029875986347329023,0.9795701185423483,0,0.9148485286322194,0.9518740498564853,1.0,0.0,25.304458947561862,fleet_300,17.311021350259665,24.019626773095606,24.0,source_sag,0.92
61.57437661451585,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,300,59.87,0.06937883865798256,2.2,4.0,0.13000000000000256,890.9158243940683,0.0,219.81649997178465,1.0708576578704598,1.0016516534732096,2.969719414646894,96.79778925266334,0.9791444567239391,0,0.9129794406058258,0.947507578458448,1.0,9.0,0.0,fleet_300,17.311021350259665,24.173899883484964,24.0,source_sag,0.92
61.57437661451585,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,300,59.87,0.06937883865798256,2.2,4.0,0.13000000000000256,890.9158243940683,536.1486148769909,208.20190000813454,1.0684069613396026,0.9970767031641528,2.969719414646894,96.60375702064023,0.9811117585058033,0,0.9198166295315505,0.9550344646185784,1.0,9.0,22.481990814208235,fleet_300,17.311021350259665,24.173899883484964,24.0,source_sag,0.92
61.56092562117754,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,300,59.8699999999484,0.06937883864895866,2.2,4.0,0.13000000005160217,880.5784702533729,660.0,344.4279999821447,1.06842852917021,1.0018836164201876,3.236585035685622,248.79693884589162,0.9864685272234266,0,0.9198376508301753,0.9622749764138944,1.0,9.0,63.35588862073025,fleet_300,17.311021350259665,24.173896118814298,24.0,source_sag,0.92
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.006500049494206905,1.076961163640929,1.0001414618335638,2.0000000000000004,0.0034132255587634467,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,fleet_500,28.851702250432776,24.018347958702265,24.0,source_sag,0.92
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,1100.0,0.006199989002197981,1.0746292409868952,0.9992389503119228,2.94707550353146,0.0031818183569991883,0.9787558858280141,0,0.9090969553458838,0.9491349913040128,1.0,0.0,39.79162946246491,fleet_500,28.851702250432776,24.019623870569724,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,219.53350002877414,1.0746317530769491,1.0028179449048558,2.8438316709559004,98.15704628482678,0.9794219712315947,0,0.9108986724354322,0.9463652441108501,1.0,9.0,0.0,fleet_500,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,924.9974846960713,210.74800001224503,1.0746317530769491,0.9996774741974602,2.8438316709559004,97.25038264252723,0.9826603872272848,0,0.9193491868176943,0.9540636265030364,1.0,9.0,32.97982127857763,fleet_500,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.27100030657553,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666655926,0.11566139420769872,2.2,4.0,0.11566139420769872,1413.3393422901538,1100.0,349.7721000458114,1.0640645510734652,1.007783496733228,3.5049391818490054,249.93394214846577,0.9894913404329357,0,0.9198650928024893,0.9715776162016488,1.0,9.0,118.17726864769264,fleet_500,28.851702250432776,24.174005292079283,24.0,source_sag,0.92
235.2777777777778,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,700,59.8,0.0,2.2,4.0,0.20000000000000284,1400.0000000000002,0.0,0.005999987479299307,1.080818688891613,0.9973196215165377,2.0000000000000004,0.0032760325072656487,0.9730877686156143,0,0.8919049400836971,0.9357304552350492,1.0,0.0,0.0,fleet_700,40.39238315060589,24.018347958702265,24.0,source_sag,0.92
234.49288238354316,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,700,59.800176752368635,0.0,2.2,4.0,0.1998232476313646,1400.0000000000002,1540.0000000000002,0.017000013031065464,1.080818688891613,0.9972200346047988,2.9471115964255854,0.0033297519245731435,0.978884146181557,0,0.9006594663993489,0.943832647363036,1.0,0.0,53.26388499065045,fleet_700,40.39238315060589,24.019620978522408,24.0,source_sag,0.92
143.7881237502739,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,700,59.94399512194793,0.16195070358157437,2.2,4.0,0.16195070358157437,1938.0588935521578,0.0,220.58500000275671,1.0808495466162227,1.0015345971285103,2.768655562217368,98.21024297617284,0.9774544128337485,0,0.9088193175622551,0.9452177586826497,1.0,8.0,0.0,fleet_700,40.39238315060589,24.172242407363754,24.0,source_sag,0.92
143.7881237502739,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,700,59.94399512194793,0.16195070358157437,2.2,4.0,0.16195070358157437,1938.0588935521578,1339.1780551928719,255.6586999562569,1.0808495466162227,0.9994326466978241,2.768655562217368,98.23061404980658,0.9819275890902702,0,0.91253040441543,0.9486060131054411,1.0,8.0,41.45156869341745,fleet_700,40.39238315060589,24.172242407363754,24.0,source_sag,0.92
