case_id,label,s_rated_kva,frequency_nadir_hz,frequency_overshoot_hz,min_feeder_voltage_pu,max_q_kvar,max_unit_apparent_kva,max_utilization,max_active_ceiling_loss_kw_per_iac,mean_active_ceiling_loss_kw_per_iac_during_event,samples_soc_binding,samples_material_headroom_loss,samples_event_material_headroom_loss,min_p_ceiling_during_event_kw,min_q_ceiling_during_event_kvar,comfort_violation_count
finite_2p6kva,finite 2.6 kVA,2.6,59.910159271990345,0.11984089177544632,0.9451748565491825,990.2817868839229,2.5999999999900156,0.9999999999961598,0.9155511494070414,0.6401177869384118,10,121,41,1.6844488505929587,2.2,0.0
nominal_4p0kva,nominal 4.0 kVA,4.0,59.91015926094531,0.11984088799390946,0.9499135228085335,1099.9999999984184,3.468359021967061,0.8670897554917653,0.1593413822999037,0.12178659073517713,0,48,41,3.378065016725656,2.2,0.0
relaxed_6p0kva,relaxed 6.0 kVA,6.0,59.910159260945406,0.11984088800100068,0.9499135228295021,1099.9999999972945,3.4683590186627993,0.5780598364437999,0.0,0.0,0,0,0,3.5,2.2,0.0
